state,sector,week,MtCO2 per week
Anhui,Aviation,2024-05-06/2024-05-12,0.06914408
Anhui,Aviation,2024-05-13/2024-05-19,0.06974208
Anhui,Aviation,2024-05-20/2024-05-26,0.07000828
Anhui,Aviation,2024-05-27/2024-06-02,0.06831071
Anhui,Aviation,2024-06-03/2024-06-09,0.06737427
Anhui,Aviation,2024-06-10/2024-06-16,0.06929627
Anhui,Aviation,2024-06-17/2024-06-23,0.0720084
Anhui,Aviation,2024-06-24/2024-06-30,0.0742271
Anhui,Aviation,2024-07-01/2024-07-07,0.0765577
Anhui,Aviation,2024-07-08/2024-07-14,0.0782568
Anhui,Aviation,2024-07-15/2024-07-21,0.0793104
Anhui,Aviation,2024-07-22/2024-07-28,0.0776519
Anhui,Aviation,2024-07-29/2024-08-04,0.0796511
Anhui,Aviation,2024-08-05/2024-08-11,0.0802469
Anhui,Aviation,2024-08-12/2024-08-18,0.0795715
Anhui,Aviation,2024-08-19/2024-08-25,0.0787622
Anhui,Aviation,2024-08-26/2024-09-01,0.0764263
Anhui,Aviation,2024-09-02/2024-09-08,0.07077388
Anhui,Aviation,2024-09-09/2024-09-15,0.07149529
Anhui,Aviation,2024-09-16/2024-09-22,0.06995944999999999
Anhui,Aviation,2024-09-23/2024-09-29,0.0746362
Anhui,Aviation,2024-09-30/2024-10-06,0.0106652
Anhui,Ground Transport,2020-09-07/2020-09-13,0.4447803
Anhui,Ground Transport,2020-09-14/2020-09-20,0.5287822
Anhui,Ground Transport,2020-09-21/2020-09-27,0.5232258000000001
Anhui,Ground Transport,2020-09-28/2020-10-04,0.4854495
Anhui,Ground Transport,2020-10-05/2020-10-11,0.4904352
Anhui,Ground Transport,2020-10-12/2020-10-18,0.5237404
Anhui,Ground Transport,2020-10-19/2020-10-25,0.5266967
Anhui,Ground Transport,2020-10-26/2020-11-01,0.5312927
Anhui,Ground Transport,2020-11-02/2020-11-08,0.532652
Anhui,Ground Transport,2020-11-09/2020-11-15,0.5358487000000001
Anhui,Ground Transport,2020-11-16/2020-11-22,0.5290471
Anhui,Ground Transport,2020-11-23/2020-11-29,0.5436136
Anhui,Ground Transport,2020-11-30/2020-12-06,0.5430972000000001
Anhui,Ground Transport,2020-12-07/2020-12-13,0.5315958
Anhui,Ground Transport,2020-12-14/2020-12-20,0.5345274
Anhui,Ground Transport,2020-12-21/2020-12-27,0.524879
Anhui,Ground Transport,2020-12-28/2021-01-03,0.5565587
Anhui,Ground Transport,2021-01-04/2021-01-10,0.5330053
Anhui,Ground Transport,2021-01-11/2021-01-17,0.5357159
Anhui,Ground Transport,2021-01-18/2021-01-24,0.544926
Anhui,Ground Transport,2021-01-25/2021-01-31,0.54038
Anhui,Ground Transport,2021-02-01/2021-02-07,0.5159599
Anhui,Ground Transport,2021-02-08/2021-02-14,0.4948557
Anhui,Ground Transport,2021-02-15/2021-02-21,0.45025950000000003
Anhui,Ground Transport,2021-02-22/2021-02-28,0.5300522
Anhui,Ground Transport,2021-03-01/2021-03-07,0.5300338
Anhui,Ground Transport,2021-03-08/2021-03-14,0.5242561
Anhui,Ground Transport,2021-03-15/2021-03-21,0.5276575
Anhui,Ground Transport,2021-03-22/2021-03-28,0.5410581
Anhui,Ground Transport,2021-03-29/2021-04-04,0.5349282
Anhui,Ground Transport,2021-04-05/2021-04-11,0.5393682
Anhui,Ground Transport,2021-04-12/2021-04-18,0.5258263
Anhui,Ground Transport,2021-04-19/2021-04-25,0.5329406
Anhui,Ground Transport,2021-04-26/2021-05-02,0.5427084
Anhui,Ground Transport,2021-05-03/2021-05-09,0.5519256
Anhui,Ground Transport,2021-05-10/2021-05-16,0.5514479
Anhui,Ground Transport,2021-05-17/2021-05-23,0.5483274
Anhui,Ground Transport,2021-05-24/2021-05-30,0.5503803
Anhui,Ground Transport,2021-05-31/2021-06-06,0.5367154
Anhui,Ground Transport,2021-06-07/2021-06-13,0.5306251
Anhui,Ground Transport,2021-06-14/2021-06-20,0.5454609
Anhui,Ground Transport,2021-06-21/2021-06-27,0.5468859
Anhui,Ground Transport,2021-06-28/2021-07-04,0.535518
Anhui,Ground Transport,2021-07-05/2021-07-11,0.5414216
Anhui,Ground Transport,2021-07-12/2021-07-18,0.5472024
Anhui,Ground Transport,2021-07-19/2021-07-25,0.5324002
Anhui,Ground Transport,2021-07-26/2021-08-01,0.527971
Anhui,Ground Transport,2021-08-02/2021-08-08,0.5359740000000001
Anhui,Ground Transport,2021-08-09/2021-08-15,0.5386081
Anhui,Ground Transport,2021-08-16/2021-08-22,0.5528255
Anhui,Ground Transport,2021-08-23/2021-08-29,0.5473348
Anhui,Ground Transport,2021-08-30/2021-09-05,0.5404903
Anhui,Ground Transport,2021-09-06/2021-09-12,0.5415985
Anhui,Ground Transport,2021-09-13/2021-09-19,0.5324180000000001
Anhui,Ground Transport,2021-09-20/2021-09-26,0.5506778999999999
Anhui,Ground Transport,2021-09-27/2021-10-03,0.5607633
Anhui,Ground Transport,2021-10-04/2021-10-10,0.5479115
Anhui,Ground Transport,2021-10-11/2021-10-17,0.55264
Anhui,Ground Transport,2021-10-18/2021-10-24,0.5515877
Anhui,Ground Transport,2021-10-25/2021-10-31,0.5569861
Anhui,Ground Transport,2021-11-01/2021-11-07,0.5516329
Anhui,Ground Transport,2021-11-08/2021-11-14,0.5417993
Anhui,Ground Transport,2021-11-15/2021-11-21,0.5431897
Anhui,Ground Transport,2021-11-22/2021-11-28,0.5440201
Anhui,Ground Transport,2021-11-29/2021-12-05,0.551887
Anhui,Ground Transport,2021-12-06/2021-12-12,0.5434469
Anhui,Ground Transport,2021-12-13/2021-12-19,0.5343917
Anhui,Ground Transport,2021-12-20/2021-12-26,0.5468714
Anhui,Ground Transport,2021-12-27/2022-01-02,0.5584362
Anhui,Ground Transport,2022-01-03/2022-01-09,0.5645665
Anhui,Ground Transport,2022-01-10/2022-01-16,0.5497564
Anhui,Ground Transport,2022-01-17/2022-01-23,0.5453106
Anhui,Ground Transport,2022-01-24/2022-01-30,0.5118267
Anhui,Ground Transport,2022-01-31/2022-02-06,0.474669
Anhui,Ground Transport,2022-02-07/2022-02-13,0.4984041
Anhui,Ground Transport,2022-02-14/2022-02-20,0.5391216
Anhui,Ground Transport,2022-02-21/2022-02-27,0.5461709
Anhui,Ground Transport,2022-02-28/2022-03-06,0.5508371
Anhui,Ground Transport,2022-03-07/2022-03-13,0.5553471
Anhui,Ground Transport,2022-03-14/2022-03-20,0.5340771
Anhui,Ground Transport,2022-03-21/2022-03-27,0.5081495
Anhui,Ground Transport,2022-03-28/2022-04-03,0.5109931
Anhui,Ground Transport,2022-04-04/2022-04-10,0.505304
Anhui,Ground Transport,2022-04-11/2022-04-17,0.4915722
Anhui,Ground Transport,2022-04-18/2022-04-24,0.4678786
Anhui,Ground Transport,2022-04-25/2022-05-01,0.491889
Anhui,Ground Transport,2022-05-02/2022-05-08,0.4984676
Anhui,Ground Transport,2022-05-09/2022-05-15,0.5004234
Anhui,Ground Transport,2022-05-16/2022-05-22,0.48738190000000003
Anhui,Ground Transport,2022-05-23/2022-05-29,0.4552615
Anhui,Ground Transport,2022-05-30/2022-06-05,0.47752839999999996
Anhui,Ground Transport,2022-06-06/2022-06-12,0.5310945
Anhui,Ground Transport,2022-06-13/2022-06-19,0.5393487
Anhui,Ground Transport,2022-06-20/2022-06-26,0.5518708
Anhui,Ground Transport,2022-06-27/2022-07-03,0.5391348
Anhui,Ground Transport,2022-07-04/2022-07-10,0.5380989
Anhui,Ground Transport,2022-07-11/2022-07-17,0.5396696
Anhui,Ground Transport,2022-07-18/2022-07-24,0.5473032
Anhui,Ground Transport,2022-07-25/2022-07-31,0.556051
Anhui,Ground Transport,2022-08-01/2022-08-07,0.5506636
Anhui,Ground Transport,2022-08-08/2022-08-14,0.5488648
Anhui,Ground Transport,2022-08-15/2022-08-21,0.5495644
Anhui,Ground Transport,2022-08-22/2022-08-28,0.5342447
Anhui,Ground Transport,2022-08-29/2022-09-04,0.5427954
Anhui,Ground Transport,2022-09-05/2022-09-11,0.5426736
Anhui,Ground Transport,2022-09-12/2022-09-18,0.5574697
Anhui,Ground Transport,2022-09-19/2022-09-25,0.5407957
Anhui,Ground Transport,2022-09-26/2022-10-02,0.5452385
